Date,Sonoma Water Mirabel Production Facility,Sonoma Water Wohler Production Facility,Town of Windsor Russian River Well Field
2026-08-09,26.4,23.8,3.146
2026-08-08,25.6,29.9,3.138
2026-08-07,22.4,28.7,3.49
2026-08-06,24.3,38.5,3.254
2026-08-05,26.4,27.6,3.442
2026-08-04,26.1,28.5,3.466
2026-08-03,26.5,26.5,3.497
2026-08-02,25.9,27.6,3.78
2026-08-01,26.6,24.9,3.791
2026-07-31,24.9,33.9,3.967
2026-07-30,25.7,31.1,4.051
2026-07-29,26.7,25.5,3.621
2026-07-28,24.9,35.0,3.379
2026-07-27,27.3,22.9,3.432
2026-07-26,21.6,23.0,3.231
2026-07-25,24.1,26.0,3.204
2026-07-24,26.5,25.2,3.469
2026-07-23,23.7,30.1,3.234
2026-07-22,25.7,31.8,3.386
2026-07-21,23.8,22.0,3.346
2026-07-20,25.6,29.4,3.273
2026-07-19,21.2,27.1,3.115
2026-07-18,26.8,23.3,3.103
2026-07-17,27.1,23.0,3.521
2026-07-16,26.7,27.1,3.505
2026-07-15,25.9,33.9,3.603
2026-07-14,20.0,35.5,3.251
2026-07-13,27.1,26.3,3.552
2026-07-12,22.4,26.0,3.014
2026-07-11,27.1,27.0,3.137
